raison_sociale,gouvernorat,delegation,secteur_nat,responsable,telephone,email,effectif_total,export
CAFE BEN GAIED HASSINE (STE EL MARAHI),Bizerte,Bizerte sud,Industries agricoles et alimentaires,FATHI BEN GAIED HASSINE,(216-)  71 321 718/ 22 898 648,elmarahi@gnet.tn,45,NON TOTALEMENT EXPORTATRICE
BOULANGERIE BOUALI (SEJNANE),Bizerte,Sejnane,Industries agricoles et alimentaires,NAIMA ZAGARI,(216-)  97 217 365/ 72 489 253,,10,NON TOTALEMENT EXPORTATRICE
COUPE CONFECTION CONSEIL INTER,Bizerte,Bizerte sud,Industries textiles et habillement,MOHAMED AMINE KHADHRAOUI,(216-)  72 530 377/ 70 253 624,ccc.sec@topnet.tn,153,TOTALEMENT EXPORTATRICE
BIKINI BEACH CONFECTION,Bizerte,Ras el jebel,Industries textiles et habillement,KHALED FERTANI,(216-)  72 456 110/ 72 456 599,bikini.beach.confection@topnet.tn,21,TOTALEMENT EXPORTATRICE
CPT,Bizerte,Mateur,Industries textiles et habillement,PETER BULC,(216-)  72 466 172,cpt@gnet.tn,270,TOTALEMENT EXPORTATRICE
BOULANGERIE MAGHRAOUI,Bizerte,Joumine,Industries agricoles et alimentaires,MOHAMED MAGHRAOUI,(216-)  72 488 570,,10,NON TOTALEMENT EXPORTATRICE
LEONI WIRING SYSTEMS TUNISIA (MATEUR),Bizerte,Mateur,Fabrication d'equipements électriques et électroniques,KARIM ZINEDDINE,(216-)  31 326 240,karim.zineddine@leoni.com,2437,TOTALEMENT EXPORTATRICE
TEXFINISH INTER,Bizerte,Bizerte sud,Industries textiles et habillement,MOHAMED LAMINE KHADHRAOUI,(216-)  72 534 809/ 70 253 638,texfinish.sec@topnet.tn,60,TOTALEMENT EXPORTATRICE
FROMAGERIE ALLOUCHE,Bizerte,Menzel jemil,Industries agricoles et alimentaires,SLIM ALLOUCHE,(216-)  72 451 122,fromallouche@gmail.com,12,NON TOTALEMENT EXPORTATRICE
LES CIMENTS DE BIZERTE,Bizerte,Bizerte sud,Fabrication d'autres produits non métalliques,CHEDLI SAIDANI,(216-)  72 510 444,boc@scb.ind.tn,473,NON TOTALEMENT EXPORTATRICE
DENIM AUTHORITY,Bizerte,Ras el jebel,Industries textiles et habillement,HATEM DAOUD,(216-)  72 447 064,fghith@denimauthority.com,1580,TOTALEMENT EXPORTATRICE
DURAVIT TUNISIA,Bizerte,Zarzouna,Fabrication d'autres produits non métalliques,FELLA SAID,(216-)  70 029 240,info@tn.duravit.com,201,NON TOTALEMENT EXPORTATRICE
STE TNNE DES LUBRIFIANTS,Bizerte,Zarzouna,Autres industries manufacturières,HAMDI GUEZANEZ,(216-)  71 861 422/ 72 590 777,sotulub.siege@planet.tn,122,NON TOTALEMENT EXPORTATRICE
PANTALOISIR,Bizerte,Menzel bourguiba,Industries textiles et habillement,HEDI CHARFI,(216-)  71 514 252/ 72 418 836,pantaloisir@planet.tn,110,TOTALEMENT EXPORTATRICE
GLOBAL PRINT,Bizerte,Bizerte nord,"Industrie du papier et du carton, édition et imprimerie",YASSINE JEMILI,(216-)  72 433 127/ 70 030 524,globalprint70@gmail.com,10,NON TOTALEMENT EXPORTATRICE
STE  FIRATEX,Bizerte,Ras el jebel,Industries textiles et habillement,EZZEDDINE MOUSSA,(216-)  72 447 003,moussa.ezeddine@topnet.tn,130,TOTALEMENT EXPORTATRICE
MANUF GHARBI DE MATERIEL DE BOULANGERIE ET PATISSERIE,Bizerte,Menzel bourguiba,Fabrication de machines et équipements,AMOR GHARBI,(216-)  98 273 118/ 72 464 418,mg-boulangerie@hotmail.fr,37,NON TOTALEMENT EXPORTATRICE
CONFECTION RAS JEBEL,Bizerte,Ras el jebel,Industries textiles et habillement,HEDI DJILANI,(216-)  71 710 831/ 72 447 331,hba.crj@leecooper.com.tn,740,NON TOTALEMENT EXPORTATRICE
STE RESSORT M B,Tunis,Cite el khadra,Métallurgie et travail des métaux,AIDA BEN AISSA,(216-)  71 770 028/ 71 770 284,ressortsbenaissa@gnet.tn,40,NON TOTALEMENT EXPORTATRICE
BISCUITERIE NAJD,Kairouan,Kairouan sud,Industries agricoles et alimentaires,AHMED MAKHLOUF,(216-)  98 245 831,,20,NON TOTALEMENT EXPORTATRICE
STE TNNE DE FABRICATION MATELAS A RESSORTS ET ARTICLES DE LITERIE,Sousse,Sidi Abdelhamid,Autres industries manufacturières,TAREK AHMED HASSOUNA AMINE,(216-)  73 322 704,zied.dorbez@permaflex.tn,80,NON TOTALEMENT EXPORTATRICE
SUCRERIE EL ABED,Sousse,Sousse jawhara,Industries agricoles et alimentaires,MOUNIR EL ABED,(216-)  73 233 688/ 73 232 678,info@sucre-abed.com,55,NON TOTALEMENT EXPORTATRICE
SINUTEX,Sousse,Sidi Abdelhamid,Industries textiles et habillement,FRANCK CHARLET,(216-)  73 382 512/ 73 382 513,sinutex.compta@planet.tn,160,TOTALEMENT EXPORTATRICE
STE TNNE IND DU CAP BON,Nabeul,Hammam el ghezaz,Industries agricoles et alimentaires,HABIB BEN JMILA,(216-)  72 294 083,sticap@planet.tn,156,NON TOTALEMENT EXPORTATRICE
STE NLLE DE CELLULOSE ET PATE ALFA,Kasserine,Kasserine nord,"Industrie du papier et du carton, édition et imprimerie",LABID GHODHBANI,(216-)  71 349 633/ 77 474 824,sncpa@planet.tn,846,NON TOTALEMENT EXPORTATRICE
INDUSTRIES CHIMIQUES DU FLUOR,Gabes,Gabes ville,Industrie chimique,SMIDA MOUNIR,(216-)  71 789 733/ 75 272 550,icftunis@icf.ind.tn,300,TOTALEMENT EXPORTATRICE
STE DES STATIONS THERMALES ET DES EAUX MINERALES (TEBOURSOUK),Beja,Teboursouk,Industries agricoles et alimentaires,WALID BEN AZIZA,(216-)  71 189 200/ 98 755 090,sostem.co@planet.tn,57,NON TOTALEMENT EXPORTATRICE
STE IND DE CONSERVES ALIMENTAIRES DE MEDJEZ EL BAB,Beja,Mjaz el bab,Industries agricoles et alimentaires,TAHAR BAYAHI,(216-)  71 426 588/ 78 560 577,sicam@gnet.tn,320,NON TOTALEMENT EXPORTATRICE
STE TNNE DU SUCRE,Beja,Beja nord,Industries agricoles et alimentaires,MOKHTAR NEFZI,(216-)  78 451 655,,401,NON TOTALEMENT EXPORTATRICE
STEIFF JOUETS,Sidi Bouzid,Sidi bouzid ouest,Autres industries manufacturières,DIETER BROUER,(216-)  76 633 204/ 76 632 204,steiff.jouets@planet.tn,842,TOTALEMENT EXPORTATRICE
LES CIMENTS D'OUM EL KHELIL,Le kef,Tajerouine,Fabrication d'autres produits non métalliques,MOHAMED MOULDI SAAD,(216-)  78 223 388/ 78 253 812,dg@ciok.com.tn,406,NON TOTALEMENT EXPORTATRICE
STE WEIGAND ELECTRONIQUE,Beja,Testour,Fabrication d'equipements électriques et électroniques,MOEMEN DRIDI,(216-)  78 570 094,,23,TOTALEMENT EXPORTATRICE
GLE IND ALIMENTAIRE DU NORD,Beja,Beja nord,Industries agricoles et alimentaires,MOHAMED FATHI BEN JEMAA,(216-)  78 454 244,benej@gian.tn,140,NON TOTALEMENT EXPORTATRICE
STE INTERCHAUX,Kasserine,Thala,Fabrication d'autres produits non métalliques,ALI GANNEM,(216-)  77 480 278,info@interchaux.com,145,NON TOTALEMENT EXPORTATRICE
GROUPE CHIMIQUE TUNISIEN (USINE DE M'DHILLA),Gafsa,Mdhilla,Industrie chimique,MOUNAOUER GUEDRI,(216-)  76 100 502/ 76 266 240,,981,TOTALEMENT EXPORTATRICE
NEBEUR TEX,Le kef,Nebeur,Industries textiles et habillement,MARTIN BOURLAG,(216-)  78 246 035,,103,TOTALEMENT EXPORTATRICE
GROUPE TUNISIENNE DE CONFECTION,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,HATEM SAIDANE,(216-)  98 186 438/ 73 434 430,gitex.technique2@gmail.com,93,NON TOTALEMENT EXPORTATRICE
MEDITERRANEAN FOODS,Beja,Goubellat,Industries agricoles et alimentaires,FADHEL ZARRAA,(216-)  71 349 982/ 98 365 553,info@medi-foods.com,88,TOTALEMENT EXPORTATRICE
BOULANGERIE CHORFA,Jendouba,Jendouba,Industries agricoles et alimentaires,ALI CHALLAKHI,(216-)  98 480 952/ 78 605 108,,12,NON TOTALEMENT EXPORTATRICE
BOULANGERIE BOUALI (TABARKA),Jendouba,Tabarka,Industries agricoles et alimentaires,MONCEF AROUBI,(216-)  98 444 053/ 78 670 592,,10,NON TOTALEMENT EXPORTATRICE
HUILERIE JANI MOURABITINE,Tataouine,Ghomrassen,Industries agricoles et alimentaires,HASSEN JANI,(216-)  98 548 650/ 75 835 273,,10,NON TOTALEMENT EXPORTATRICE
BOULANGERIE ABDELKERIM BEN SALAH,Gafsa,Om el araies,Industries agricoles et alimentaires,MOHAMED KAMEL DJERIDI,(216-)  98 282 599/ 76 260 246,,15,NON TOTALEMENT EXPORTATRICE
STE DU FRIPERIE DU NORD  JUGURTHA,Le kef,Le kef ouest,Industries textiles et habillement,SALAH CHANDOUL,(216-)  78 227 812,,69,NON TOTALEMENT EXPORTATRICE
STE DES STATIONS THERMALES ET DES EAUX MINERALES (EL KSOUR),Le kef,El ksour,Industries agricoles et alimentaires,MOHAMED LASSAAD M'SAHA,(216-)  71 189 200/ 78 295 327,,204,NON TOTALEMENT EXPORTATRICE
BOULANGERIE BEN HAMMOUDA,Kasserine,Sbeitla,Industries agricoles et alimentaires,MOHAMED SALAH BEN HAMMOUDA,(216-)  77 465 395,hechbh@hotmail.fr,16,NON TOTALEMENT EXPORTATRICE
SOTRETEX-NORD,Le kef,Le sers,Industries textiles et habillement,MOHAMED KHAMMASSI,(216-)  20 912 394/,,70,NON TOTALEMENT EXPORTATRICE
MB CONFECTION (EL BOUSTENE),Sfax,Sakiet eddaier,Industries textiles et habillement,KHAMIS BEN CHIKHA,(216-)  74 887 958/ 98 460 671,,11,NON TOTALEMENT EXPORTATRICE
STE OMRANI HNIA DE TRAVAUX PUBLICS,Le kef,Jerissa,Autres industries extractives,MOHAMED GUIZAOUI,(216-)  78 253 229,sohtp2002@gmail.com,13,NON TOTALEMENT EXPORTATRICE
STE CENTRE BETON,Kasserine,Kasserine nord,Fabrication d'autres produits non métalliques,MOKHTAR MNASRI,(216-)  98 227 385,moktharmnasri@yahoo.fr,15,NON TOTALEMENT EXPORTATRICE
STE TNNE IND DE CARBONATE DE CALCIUM,Kasserine,Feriana,Autres industries extractives,ALI HERMASSI,(216-)  36 404 520/ 58 091 724,sticc-hermess@hotmail.fr,50,NON TOTALEMENT EXPORTATRICE
STE DE FABRICATION DE TUYAUX,Gafsa,Gafsa sud,Industrie du caoutchouc et des plastiques,BOUBAKER BETTAIEB,(216-)  76 210 014/ 76 210 707,placoplast@gnet.tn,34,NON TOTALEMENT EXPORTATRICE
SUP PALETTE ET MANUTENTION MOHAMED SADOK KRAIEM,Gabes,Gabes ouest,Travail du bois et fabrication d'articles en bois,MOHAMED BEN SADOK KRAIEM,(216-)  75 228 937,kraiemhatem@yahoo.fr,18,NON TOTALEMENT EXPORTATRICE
STE TRITEX INTERNATIONAL,Gafsa,Gafsa sud,Autres industries manufacturières,ABDESSALEM DHIFALLAH,(216-)  76 222 720,ste.tritex@gnet.tn,83,TOTALEMENT EXPORTATRICE
HORCHANI OLIVE OIL,Sfax,El amra,Industries agricoles et alimentaires,ALI BOUABOURA,(216-)  71 832 440/ 98 305 123,,10,NON TOTALEMENT EXPORTATRICE
ULYSSE AGRO INDUSTRIES,Gafsa,Sidi aiech,Industries agricoles et alimentaires,RACHID CHERNI,(216-)  92 554 333,rachid.cherni@utique.com.tn,18,NON TOTALEMENT EXPORTATRICE
PLASTIC ELECTROMECHANIC COMPANY,Zaghouan,Zriba,Fabrication d'equipements électriques et électroniques,IMEDEDDINE CHARFEDDINE,(216-)  72 677 910,imed.charfeddine@groupepec.com,200,TOTALEMENT EXPORTATRICE
STE DE SERVICE AGRICOLE ET ENTREPOSAGE FRIGORIFIQUE,Jendouba,Bousalem,Industries agricoles et alimentaires,SAMIR SEDGHIANI,(216-)  78 639 162/ 98 446 002,,10,NON TOTALEMENT EXPORTATRICE
STE DES CARRIERES DES BONS MATERIAUX,Beja,Teboursouk,Autres industries extractives,KACEM GAALICHE,(216-)  73 227 113/ 98 723 326,,11,NON TOTALEMENT EXPORTATRICE
PLEMIVER,Le kef,Le kef est,Fabrication d'autres produits non métalliques,NABIL AOUADI,,,25,NON TOTALEMENT EXPORTATRICE
SAHLI MOHAMED,Beja,Beja nord,Industries agricoles et alimentaires,MOHAMED SAHLI,(216-)  78 452 168,,18,NON TOTALEMENT EXPORTATRICE
STE TNNE D'INDUSTRIE D'ALUMINIUM,Sfax,Sfax ville,Métallurgie et travail des métaux,MOHAMED ALI DERBEL,(216-)  74 286 763,stial@planet.tn,26,NON TOTALEMENT EXPORTATRICE
STE DE MONTAGE ET MAINTENANCE INDUSTRIELLE,Gafsa,Gafsa nord,Métallurgie et travail des métaux,SALEM YOUSSEF,(216-)  76 221 420,sommi@planet.tn,45,NON TOTALEMENT EXPORTATRICE
STE FRIPERIE TEXTILE,Tataouine,Tataouine nord,Industries textiles et habillement,HAITHEM GUERRIDA,(216-)  75 870 727,,48,NON TOTALEMENT EXPORTATRICE
USINE NLLE DE PATES ALIMENTAIRES HABIB MELLOULI ET CIE,Sousse,Sidi Abdelhamid,Industries agricoles et alimentaires,JALELEDDINE MELLOULI,(216-)  73 233 055,j.mellouli@lepidor.com.tn,840,NON TOTALEMENT EXPORTATRICE
CENTRALE LAITIERE DU NORD,Jendouba,Bousalem,Industries agricoles et alimentaires,MOHAMED MEDDEB,(216-)  71 843 118/ 78 616 200,daf.laino@planet.tn,380,NON TOTALEMENT EXPORTATRICE
STE D'ARTICLES HYGIENIQUES (MJAZ EL BAB),Beja,Mjaz el bab,"Industrie du papier et du carton, édition et imprimerie",JALILA MEZNI,(216-)  71 809 222/ 78 451 945,sah.siege@gnet.tn,1997,NON TOTALEMENT EXPORTATRICE
STE FRANCO-TNNE DE THERMOPLASTIQUE,Ben arous,Rades,Industrie du caoutchouc et des plastiques,AHMED TRIFI,(216-)  71 449 143/ 71 449 231,a.safa@sftt.tn,40,NON TOTALEMENT EXPORTATRICE
BOULANGERIE CHEIKH HABIB,Beja,Testour,Industries agricoles et alimentaires,HABIB CHEIKH,,,12,NON TOTALEMENT EXPORTATRICE
RAFFINERIE AFRICAINE,Ben arous,Megrine,Industries agricoles et alimentaires,IMED MEJRI,(216-)  71 426 509/ 71 297 855,imed.mejri@rafinerie.africaine.com,21,NON TOTALEMENT EXPORTATRICE
CERAMIQUE ARTISTIQUE DE TUNISIE,Ben arous,Fouchana,Fabrication d'autres produits non métalliques,MOHAMED FARES BEN AYED,(216-)  71 398 128,benayed.fares@gnet.tn,65,NON TOTALEMENT EXPORTATRICE
HUILERIE BOUAFIA,Gafsa,Gafsa sud,Industries agricoles et alimentaires,SALAH BOUAFIA,(216-)  76 221 884,,12,NON TOTALEMENT EXPORTATRICE
SUD FLEXIBLES,Gabes,Gabes ville,Industrie du caoutchouc et des plastiques,TAHAR KAHLOUL,(216-)  75 270 568,sud-flexibles@planet.tn,10,NON TOTALEMENT EXPORTATRICE
HUILERIE OUALID,Siliana,Siliana sud,Industries agricoles et alimentaires,SALAH SAMTI,(216-)  92 564 233/ 78 870 319,,10,NON TOTALEMENT EXPORTATRICE
HUILERIE EL AYACHI,Siliana,Kesra,Industries agricoles et alimentaires,ALI EL AYACHI ZAMMEL,(216-)  78 820 053,,10,NON TOTALEMENT EXPORTATRICE
STE TNNE D'IMPRESSION ET DE CARTONNAGE,Ben arous,Rades,"Industrie du papier et du carton, édition et imprimerie",SAMIR LAYOUNI,(216-)  71 432 322,dg.stic@hexabyte.tn,66,NON TOTALEMENT EXPORTATRICE
LA METALLOPLASTIC,Ben arous,Ezzahra,Industrie du caoutchouc et des plastiques,TAREK KHALFET,(216-)  71 452 600/ 27 452 600,achat.lamatelloplastic@gmail.com,50,NON TOTALEMENT EXPORTATRICE
ENT DE CONSTRUCTION METALLIQUE ET ENTRETIEN,Ben arous,Rades,Métallurgie et travail des métaux,MAHMOUD SAIDI,(216-)  71 441 255/ 71 441 203,ecme@gnet.tn,40,NON TOTALEMENT EXPORTATRICE
CIE D'EMBALLAGE ET DE TRANSFORMATION D'ALUMINUIM,Beja,Mjaz el bab,"Industrie du papier et du carton, édition et imprimerie",YAHIA BAYAHI,(216-)  71 426 440/ 78 560 999,cetram@planet.tn,33,NON TOTALEMENT EXPORTATRICE
STE TNNE D'EAUX MINERALES,Le kef,El ksour,Industries agricoles et alimentaires,MOHAMED LASSAAD M'SAHA,(216-)  71 189 200/ 78 224 526,,152,NON TOTALEMENT EXPORTATRICE
STE MTEX,Kairouan,Kairouan nord,Industries textiles et habillement,KAOUTHAR NEGRA,(216-)  55 868 445/ 77 272 841,kimka@orange.tn,28,NON TOTALEMENT EXPORTATRICE
STE DES HUILES BORGES TUNISIE,Sfax,Sakiet eddaier,Industries agricoles et alimentaires,AHMED DHIIB,(216-)  25 484 864/ 74 833 040,mmkaouer@borges-baieo.com,29,TOTALEMENT EXPORTATRICE
CENTRE IND D'ETUDES ET DE FABRICATION,Sfax,Sfax ville,Métallurgie et travail des métaux,FAKHER ABDENNADHER,(216-)  74 497 033,cief@tunet.tn,30,NON TOTALEMENT EXPORTATRICE
STE TNNE DES EMBALLAGES MODERNES,Ben arous,Megrine,"Industrie du papier et du carton, édition et imprimerie",NAIM GHORBEL,(216-)  71 433 218/ 71 433 577,stem@utic.com.tn,180,NON TOTALEMENT EXPORTATRICE
HENKEL TUNISIE,Ben arous,Boumhal,Industrie chimique,SOULEF KAROUI,(216-)  71 196 120/,nizar.bahroun@henkel.com,126,NON TOTALEMENT EXPORTATRICE
STE ALKHATEX,Ben arous,Fouchana,Industries textiles et habillement,MOEZ GHARBI,(216-)  71 398 267,alkhatex@gnet.tn,80,TOTALEMENT EXPORTATRICE
STE DE NUTRITION ANIMALE (BIR EL BEY),Ben arous,Hammam chott,Industries agricoles et alimentaires,MOHAMED CHIKHAOUI,(216-)  70 020 640/ 71 430 822,finance@poulina.com.tn,198,NON TOTALEMENT EXPORTATRICE
ETANCHEITE TNNE,Ben arous,Fouchana,Fabrication d'autres produits non métalliques,TAREK CHERIF,(216-)  79 101 100/ 79 307 200,commercial@etancheite.com.tn,182,NON TOTALEMENT EXPORTATRICE
TUNISIE PROFILES ALUMINIUM,Ben arous,Megrine,Métallurgie et travail des métaux,YAHIA BAYAHI,(216-)  71 433 299/ 71 434 611,finance@tpr.com.tn,298,NON TOTALEMENT EXPORTATRICE
STE TNNE D'OLEAGINEUX,Ben arous,Megrine,Industrie chimique,ABDELLATIF HAMROUNI,(216-)  71 434 022,sotunol@planet.tn,87,NON TOTALEMENT EXPORTATRICE
POLYMOUSSE - POLYFLEX,Ben arous,Megrine,Industrie chimique,ABDELKADER HAMROUNI,(216-)  71 434 022/ 71 434 499,mehrez.abbassi@polymousse-polyflex.tn,50,NON TOTALEMENT EXPORTATRICE
STE TNNE DE BISCUITERIE,Ben arous,Megrine,Industries agricoles et alimentaires,IADH ZARGOUNI,(216-)  71 432 999,s.saida@sotubi.com.tn,1139,NON TOTALEMENT EXPORTATRICE
STE TNNE DES BOISSONS GAZEUSES,Ben arous,Megrine,Industries agricoles et alimentaires,HICHEM GAALOUL,(216-)  71 434 880,stbg@stbg.com.tn,303,NON TOTALEMENT EXPORTATRICE
LUSTRERIE MODERNE,Ben arous,Nouvelle medina,Fabrication d'equipements électriques et électroniques,NEJIB TROJETTE,(216-)  71 380 421,lm@gnet.tn,35,NON TOTALEMENT EXPORTATRICE
STE NLLE D'INDUSTRIE METALLIQUE,Ben arous,Megrine,Métallurgie et travail des métaux,AHMED BEREKHISSA,,sonim@planet.tn,47,NON TOTALEMENT EXPORTATRICE
STE TNNE DE CONSTRUCTION THERMIQUE ET AERAULIQUE,Ben arous,Ben arous,Fabrication de machines et équipements,ABDELMAJID MAKNI,(216-)  71 381 014/ 71 388 534,info@thermivent.com,17,NON TOTALEMENT EXPORTATRICE
ATLAS PEINTURE,Ben arous,Megrine,Industrie chimique,FETHI M'ZABI,(216-)  71 434 333,atlas.peintures@gnet.tn,50,NON TOTALEMENT EXPORTATRICE
STE LES VERGERS DE TUNISIE (NOUVELLE MEDINA),Ben arous,Nouvelle medina,Industries agricoles et alimentaires,CHEDLY BELKHODJA,(216-)  71 381 262,chedlybelkhodja@malga.com.tn,60,TOTALEMENT EXPORTATRICE
STE HAMOUDA PLASTIC,Ben arous,Fouchana,Industrie du caoutchouc et des plastiques,AHMED HAMMAMI,(216-)  71 409 575,,20,NON TOTALEMENT EXPORTATRICE
STE TNNE DE BISCOTTES,Ben arous,Ben arous,Industries agricoles et alimentaires,SAHBI BEN AISSA,(216-)  71 380 224,sobisco@planet.tn,25,NON TOTALEMENT EXPORTATRICE
ETS TORKHANI PESAGE,Ben arous,Nouvelle medina,Fabrication de machines et équipements,MOHSEN TORKHANI,(216-)  71 241 694/ 71 383 181,eta.torkhani@planet.tn,20,NON TOTALEMENT EXPORTATRICE
STE TNNE DE VENTILATION,Ben arous,Fouchana,Fabrication de machines et équipements,JALLOUL MAJRI,(216-)  71 400 231,sotuvent@wanadoo.tn,18,NON TOTALEMENT EXPORTATRICE
SOJUTEX,Ben arous,Megrine,Industries textiles et habillement,DE VECIYAN HARUTUYUN,(216-)  71 428 750,sojutex1@gmail.com,50,TOTALEMENT EXPORTATRICE
STE IND DE COLLES ET PEINTURES,Sfax,El hencha,Industrie chimique,HANENE BACCOUCHE,(216-)  98 409 722/ 74 842 042,contact@sicop-pentocol.com,33,NON TOTALEMENT EXPORTATRICE
ATELIER DE CONSTRUCTION IND ET ARMATURE (POUR BETON) DU SUD,Sfax,Sakiet eddaier,Métallurgie et travail des métaux,MUSTAPHA MAALEJ,(216-)  74 831 677/ 74 831 720,acia.sud@gnet.tn,53,NON TOTALEMENT EXPORTATRICE
STE ATELIER NORD AFRICAIN DE CONFECTION ET DE CHAUSSURES,Sfax,Sakiet ezzit,Industries textiles et habillement,ABDESSALEM AYADI,(216-)  74 254 087,anacc.aa@planet.tn,80,NON TOTALEMENT EXPORTATRICE
HORIZON MECANIQUE DU SUD,Sfax,Sfax ville,Métallurgie et travail des métaux,MOHSEN CHAARI,(216-)  74 287 489,horimes-sfax@yahoo.fr,16,NON TOTALEMENT EXPORTATRICE
PLASTIC SFAX,Sfax,Sfax sud,Industrie du caoutchouc et des plastiques,MOHAMED RIADH REKIK,(216-)  74 453 590,plastic.sfax@planet.tn,45,NON TOTALEMENT EXPORTATRICE
TANNERIE ABDELMOULA,Sfax,Jebeniana,Industries du cuir et de la chaussure,NEJIB ABDELMOULA,(216-)  98 656 809,abdelmoula.nejib@voila.fr,13,NON TOTALEMENT EXPORTATRICE
TUNISIE GOMME,Sfax,Sfax ville,Industrie du caoutchouc et des plastiques,MOHAMED ABIDA,(216-)  74 432 723,tunisie.gomme@gmail.com,20,NON TOTALEMENT EXPORTATRICE
STE D'ARTICLES METALLIQUES,Sfax,Sakiet ezzit,Métallurgie et travail des métaux,RIDHA HACHICHA,(216-)  74 861 724,sam-sfax@hexabyte.tn,110,NON TOTALEMENT EXPORTATRICE
BOULANGERIE KAMOUN,Sfax,Sfax ouest,Industries agricoles et alimentaires,MONCEF KAMOUN,(216-)  74 680 995,,10,NON TOTALEMENT EXPORTATRICE
STE CERAMIQUE DU SUD,Sfax,Agareb,Fabrication d'autres produits non métalliques,RIADH SMAOUI,(216-)  74 271 180,soces@tunet.tn,52,NON TOTALEMENT EXPORTATRICE
CALEMBO,Sfax,Sfax ville,Industries agricoles et alimentaires,HASSEN BEN ROMDHANE,(216-)  74 497 150/ 74 497 513,calembo@gnet.tn,65,TOTALEMENT EXPORTATRICE
ABDELWAHAB FRIKHA FORMES ET OUTILS,Sfax,Sakiet ezzit,Métallurgie et travail des métaux,ABDELWAHAB FRIKHA,(216-)  74 861 233/ 74 861 133,a2fo@a2fo.com,35,NON TOTALEMENT EXPORTATRICE
SCIERIE AFRICAINE,Sfax,Thyna,Travail du bois et fabrication d'articles en bois,KHALED SELLAMI,(216-)  74 289 639,sciaf@tunet.tn,27,NON TOTALEMENT EXPORTATRICE
STE IND DE CERAMIQUE,Sfax,Sakiet ezzit,Fabrication d'autres produits non métalliques,ADEL CHAARI,(216-)  74 273 000,contact@siceram.com,105,NON TOTALEMENT EXPORTATRICE
STE L'ART DU BUREAU,Sfax,Sakiet ezzit,Autres industries manufacturières,HALA GOUIAA,(216-)  74 860 508,contact@art-du-bureau.com.tn,45,NON TOTALEMENT EXPORTATRICE
STE DE TRANSFORMATION ET DE CONDITIONNEMENT DES EPICES,Sfax,Sfax sud,Industries agricoles et alimentaires,MOHAMED DAMAK,(216-)  74 657 083/ 74 657 084,contact@sotraco.com.tn,76,NON TOTALEMENT EXPORTATRICE
